感染率,最佳每组人数,平均人均测试数
1,33,0.06223206256109482
2,24,0.08787380952380953
3,18,0.10763412698412698
4,17,0.12405742771684945
5,15,0.13845174129353235
6,14,0.1515327380952381
7,13,0.163575024975025
8,12,0.17458214285714285
9,11,0.18511568431568431
10,11,0.19501898101898102
11,10,0.204072
12,10,0.213021
13,9,0.2217012896825397
14,9,0.22975128968253966
15,9,0.23748343253968257
16,9,0.24549414682539683
17,8,0.2525016
18,8,0.25976800000000005
19,8,0.2665608
20,8,0.2734776
21,7,0.28037602397602396
22,7,0.28644315684315685
23,7,0.2924865134865135
24,7,0.29857602397602395
25,7,0.30464945054945053
26,7,0.3103746253746254
27,7,0.31642217782217785
28,7,0.3223921078921079
29,6,0.32789720558882235
30,6,0.3329978043912176
31,6,0.33816067864271454
32,6,0.3433738522954092
33,6,0.348350499001996
34,6,0.35353433133732537
35,6,0.3584169660678643
36,6,0.36340738522954086
37,6,0.368487624750499
38,6,0.3732954091816367
39,6,0.37814630738522953
40,6,0.3829379241516966
41,6,0.3880654690618762
42,5,0.3924715
43,5,0.3966245
44,5,0.40086400000000005
45,5,0.40504549999999995
46,5,0.409184
47,5,0.4130635
48,5,0.4173655
49,5,0.42160149999999996
50,5,0.42548400000000003
51,5,0.429547
52,5,0.43366449999999995
53,5,0.43765149999999997
54,5,0.4416905
55,5,0.44554449999999995
56,5,0.4496395
57,5,0.45333950000000006
58,5,0.457418
59,5,0.46136900000000003
60,5,0.4653445
61,5,0.46888850000000004
62,5,0.4730205
63,5,0.476799
64,5,0.48064599999999996
65,5,0.4845845
66,5,0.4881665
67,4,0.4913676
68,4,0.4949552
69,4,0.49811400000000006
70,4,0.501266
71,4,0.5045092
72,4,0.507664
73,4,0.5109636
74,4,0.5140979999999999
75,4,0.5173684000000001
76,4,0.5203091999999999
77,4,0.5235576
78,4,0.5266196
79,4,0.5299112
80,4,0.5327783999999999
81,4,0.5360144
82,4,0.5389192
83,4,0.5420176
84,4,0.5454631999999999
85,4,0.5482611999999999
86,4,0.5514108
87,4,0.5544192
88,4,0.557298
89,4,0.5603936
90,4,0.5634744
91,4,0.566258
92,4,0.5694992
93,4,0.5724847999999999
94,4,0.5753404000000001
95,4,0.578298
96,4,0.5812092
97,4,0.5842328
98,4,0.5869808000000001
99,4,0.5900204
100,4,0.5931448
101,4,0.595882
102,4,0.5986800000000001
103,4,0.6015316
104,4,0.6045608
105,4,0.60745
106,4,0.6100363999999999
107,4,0.6131068000000001
108,4,0.6159044
109,4,0.6187
110,4,0.621396
111,4,0.624264
112,4,0.6271384000000001
113,4,0.6298579999999999
114,4,0.632708
115,4,0.6355111999999999
116,4,0.6382712
117,4,0.6406544
118,4,0.6435160000000001
119,4,0.6465563999999999
120,4,0.6491236
121,4,0.6519556
122,4,0.6547256
123,4,0.657332
124,4,0.6599756
125,4,0.662806
126,4,0.6651244
127,3,0.667341117764471
128,3,0.66947375249501
129,3,0.6717971057884231
130,3,0.6741512974051896
131,3,0.6761740518962076
132,3,0.6787914171656687
133,3,0.680822255489022
134,3,0.683133632734531
135,3,0.6855060878243512
136,3,0.6875563872255489
137,3,0.6898635728542916
138,3,0.69212375249501
139,3,0.6942255489021957
140,3,0.6963989021956087
141,3,0.6988506986027944
142,3,0.7008102794411177
143,3,0.7033030938123752
144,3,0.7054417165668662
145,3,0.7075935129740518
146,3,0.7098270459081837
147,3,0.7118566866267465
148,3,0.7140300399201598
149,3,0.716109381237525
150,3,0.7183429141716566
151,3,0.7203273453093813
152,3,0.7229968063872256
153,3,0.7248692614770459
154,3,0.7270596806387226
155,3,0.7289126746506986
156,3,0.7314180638722555
157,3,0.7333486027944112
158,3,0.7356258483033932
159,3,0.7376941117764471
160,3,0.739817764471058
161,3,0.7418096806387224
162,3,0.7438923153692615
163,3,0.7460075848303394
164,3,0.748210878243513
165,3,0.7501647704590818
166,3,0.7523836327345309
167,3,0.7542162674650699
168,3,0.7565662674650699
169,3,0.7586348303393213
170,3,0.7606695608782436
171,3,0.76265249500998
172,3,0.7647596806387225
173,3,0.7666243512974051
174,3,0.7689896207584831
175,3,0.7708315369261477
176,3,0.7728372255489021
177,3,0.7749545908183633
178,3,0.7768147704590819
179,3,0.779006986027944
180,3,0.7808291417165669
181,3,0.7828054890219561
182,3,0.7850213572854292
183,3,0.7871845309381238
184,3,0.7889971057884232
185,3,0.7910770459081837
186,3,0.7931189620758483
187,3,0.7947773453093813
188,3,0.7970303393213573
189,3,0.7988423153692614
190,3,0.8008144710578843
191,3,0.8030042914171657
192,3,0.8047755489021956
193,3,0.80658123752495
194,3,0.8086198602794412
195,3,0.8106680638722555
196,3,0.812520758483034
197,3,0.8147887225548901
198,3,0.8165411177644711
199,3,0.818449500998004
200,3,0.8203348303393214
201,3,0.8219584830339322
202,3,0.8238426147704591
203,3,0.8258408183632735
204,3,0.8277456087824352
205,3,0.829766866267465
206,3,0.8318788423153692
207,3,0.8335503992015968
208,3,0.8354330339321357
209,3,0.8373228542914172
210,3,0.8391530938123752
211,3,0.8409042914171656
212,3,0.8428321357285429
213,3,0.8449057884231537
214,3,0.8465656686626747
215,3,0.8484923153692615
216,3,0.8503156686626746
217,3,0.8521066866267465
218,3,0.8539066866267465
219,3,0.8554683632734531
220,3,0.857770758483034
221,3,0.8596327345309381
222,3,0.8613405189620759
223,3,0.8631893213572854
224,3,0.8648563872255489
225,3,0.8665755489021957
226,3,0.8685201596806388
227,3,0.870242614770459
228,3,0.8717875249500998
229,3,0.8740773453093812
230,3,0.8756782435129741
231,3,0.877572255489022
232,3,0.8790111776447106
233,3,0.8807129740518963
234,3,0.8824860279441118
235,3,0.8841237524950101
236,3,0.8860090818363274
237,3,0.887898003992016
238,3,0.8894806387225549
239,3,0.8912710578842314
240,3,0.8931489021956088
241,3,0.8948818363273453
242,3,0.8964420159680639
243,3,0.898272255489022
244,3,0.9000336327345309
245,3,0.9017372255489022
246,3,0.9033342315369262
247,3,0.9051330339321357
248,3,0.9067321357285428
249,3,0.9084647704590818
250,3,0.9101051896207585
251,3,0.9117330339321357
252,3,0.9133261477045909
253,3,0.9150617764471058
254,3,0.9168378243512975
255,3,0.9184420159680639
256,3,0.9199072854291417
257,3,0.921858483033932
258,3,0.9235438123752495
259,3,0.9251752495009979
260,3,0.9268336327345309
261,3,0.928166866267465
262,3,0.9299279441117764
263,3,0.9317962075848303
264,3,0.933283632734531
265,3,0.934788123752495
266,3,0.9368105788423153
267,3,0.9383893213572854
268,3,0.9396117764471058
269,3,0.9413495009980041
270,3,0.942860878243513
271,3,0.9444363273453094
272,3,0.9460297405189622
273,3,0.947709381237525
274,3,0.949309381237525
275,3,0.9505998003992016
276,3,0.9523342315369261
277,3,0.9540390219560878
278,3,0.9555168662674651
279,3,0.9574441117764472
280,3,0.9583498003992017
281,3,0.9602602794411177
282,3,0.9615246506986027
283,3,0.9631081836327345
284,3,0.964763872255489
285,3,0.9664324351297404
286,3,0.967903992015968
287,3,0.9694992015968065
288,3,0.9707300399201597
289,3,0.9723704590818363
290,3,0.9743423153692615
291,3,0.9754147704590818
292,3,0.976988123752495
293,3,0.978422255489022
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
299,1,1
300,1,1
301,1,1
302,1,1
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,1
330,1,1
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,1,1
389,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,1,1
402,1,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,1
417,1,1
418,1,1
419,1,1
420,1,1
421,1,1
422,1,1
423,1,1
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
431,1,1
432,1,1
433,1,1
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
470,1,1
471,1,1
472,1,1
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
484,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,1,1
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,1,1
498,1,1
499,1,1
500,1,1
501,1,1
502,1,1
503,1,1
504,1,1
505,1,1
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
514,1,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,1,1
533,1,1
534,1,1
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,1,1
556,1,1
557,1,1
558,1,1
559,1,1
560,1,1
561,1,1
562,1,1
563,1,1
564,1,1
565,1,1
566,1,1
567,1,1
568,1,1
569,1,1
570,1,1
571,1,1
572,1,1
573,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,1
579,1,1
580,1,1
581,1,1
582,1,1
583,1,1
584,1,1
585,1,1
586,1,1
587,1,1
588,1,1
589,1,1
590,1,1
591,1,1
592,1,1
593,1,1
594,1,1
595,1,1
596,1,1
597,1,1
598,1,1
599,1,1
600,1,1
